match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T203175,Super Giants Vs KKR,Super Giants,MohsinKhan,1.0,0,15,0,15.0,2,2,1,0,0
T203175,Super Giants Vs KKR,Super Giants,Naveen-ul-Haq,4.0,0,46,0,11.5,8,6,2,0,0
T203175,Super Giants Vs KKR,Super Giants,KrunalPandya,4.0,0,30,1,7.5,9,5,0,0,0
T203175,Super Giants Vs KKR,Super Giants,KrishnappaGowtham,4.0,0,26,1,6.5,9,2,0,2,0
T203175,Super Giants Vs KKR,Super Giants,RaviBishnoi,4.0,0,23,2,5.75,10,1,1,0,0
T203175,Super Giants Vs KKR,Super Giants,YashThakur,3.0,0,31,2,10.33,9,1,3,3,0
T201855,Sunrisers Vs Mumbai,Mumbai,JasonBehrendorff,3.0,0,36,0,12.0,7,4,2,3,0
T201855,Sunrisers Vs Mumbai,Mumbai,CameronGreen,1.0,0,2,0,2.0,4,0,0,0,0
T201855,Sunrisers Vs Mumbai,Mumbai,ChrisJordan,4.0,0,42,1,10.5,6,5,1,1,0
T201855,Sunrisers Vs Mumbai,Mumbai,AkashMadhwal,4.0,0,37,4,9.25,7,4,1,0,1
T201855,Sunrisers Vs Mumbai,Mumbai,PiyushChawla,4.0,0,39,0,9.75,4,3,2,0,0
T201855,Sunrisers Vs Mumbai,Mumbai,KumarKartikeya,4.0,0,39,0,9.75,6,4,1,1,0
T201855,Sunrisers Vs Mumbai,Sunrisers,BhuvneshwarKumar,4.0,0,26,1,6.5,8,3,0,0,0
T201855,Sunrisers Vs Mumbai,Sunrisers,NitishKumarReddy,3.0,0,35,0,11.66,7,1,4,0,0
T201855,Sunrisers Vs Mumbai,Sunrisers,MayankDagar,4.0,0,37,1,9.25,9,4,2,0,0
T201855,Sunrisers Vs Mumbai,Sunrisers,KartikTyagi,2.5,0,41,0,14.47,4,6,1,0,3
T201855,Sunrisers Vs Mumbai,Sunrisers,UmranMalik,3.0,0,41,0,13.66,3,7,1,0,0
T201855,Sunrisers Vs Mumbai,Sunrisers,VivrantSharma,1.0,0,19,0,19.0,1,0,2,1,1
T201855,Sunrisers Vs Mumbai,Sunrisers,AidenMarkram,0.1,0,1,0,6.0,0,0,0,0,0
T205366,RCB Vs Titans,Titans,MohammedShami,4.0,0,39,1,9.75,9,7,0,1,0
T205366,RCB Vs Titans,Titans,YashDayal,4.0,0,39,1,9.75,7,5,1,0,0
T205366,RCB Vs Titans,Titans,RashidKhan,4.0,0,24,1,6.0,5,1,0,0,0
T205366,RCB Vs Titans,Titans,NoorAhmad,4.0,0,39,2,9.75,6,4,1,2,0
