match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,matchDate
Mumbai Vs RCB,RCB,MichaelBracewell,2,0,16,1,8.00,6,3,0,0,0,"Apr 2, 2023"
Mumbai Vs RCB,RCB,GlennMaxwell,1,0,16,0,16.00,0,1,1,1,0,"Apr 2, 2023"
Mumbai Vs RCB,Mumbai,JasonBehrendorff,3,0,37,0,12.33,6,3,3,0,0,"Apr 2, 2023"
Mumbai Vs RCB,Mumbai,ArshadKhan,2.2,0,28,1,12.00,7,2,2,4,0,"Apr 2, 2023"
Mumbai Vs RCB,Mumbai,JofraArcher,4,0,33,0,8.25,10,2,2,0,0,"Apr 2, 2023"
Mumbai Vs RCB,Mumbai,PiyushChawla,4,0,26,0,6.50,11,2,1,0,0,"Apr 2, 2023"
Mumbai Vs RCB,Mumbai,CameronGreen,2,0,30,1,15.00,4,2,3,0,0,"Apr 2, 2023"
Mumbai Vs RCB,Mumbai,HrithikShokeen,1,0,17,0,17.00,0,0,2,0,0,"Apr 2, 2023"
Super Kings Vs Super Giants,Super Giants,KyleMayers,2,0,16,0,8.00,1,1,0,1,0,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Giants,AveshKhan,3,0,39,1,13.00,4,6,0,1,0,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Giants,KrunalPandya,2,0,21,0,10.50,4,1,2,0,0,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Giants,KrishnappaGowtham,1,0,20,0,20.00,2,0,3,0,0,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Giants,MarkWood,4,0,49,3,12.25,9,3,5,0,0,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Giants,YashThakur,4,0,36,0,9.00,4,3,1,0,1,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Giants,RaviBishnoi,4,0,28,3,7.00,13,1,2,1,0,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Kings,DeepakChahar,4,0,55,0,13.75,6,7,1,5,0,"Apr 3, 2023"
Super Kings Vs Super Giants,Super Kings,BenStokes,1,0,18,0,18.00,0,2,1,0,0,"Apr 3, 2023"
