name,team,link
ChetanSakariya ,Capitals,https://www.espncricinfo.com/cricketers/chetan-sakariya-1131754
MukeshKumar ,Capitals,https://www.espncricinfo.com/cricketers/mukesh-kumar-926851
KhaleelAhmed,Capitals,https://www.espncricinfo.com/cricketers/khaleel-ahmed-942645
MukeshKumar,Capitals,https://www.espncricinfo.com/cricketers/mukesh-kumar-926851
ChetanSakariya,Capitals,https://www.espncricinfo.com/cricketers/chetan-sakariya-1131754
AxarPatel,Capitals,https://www.espncricinfo.com/cricketers/axar-patel-554691
KuldeepYadav,Capitals,https://www.espncricinfo.com/cricketers/kuldeep-yadav-559235
KyleMayers,Super Giants,https://www.espncricinfo.com/cricketers/kyle-mayers-348056
JaydevUnadkat,Super Giants,https://www.espncricinfo.com/cricketers/jaydev-unadkat-390484
KrishnappaGowtham,Super Giants,https://www.espncricinfo.com/cricketers/krishnappa-gowtham-424377
AveshKhan,Super Giants,https://www.espncricinfo.com/cricketers/avesh-khan-694211
MarkWood,Super Giants,https://www.espncricinfo.com/cricketers/mark-wood-351588
RaviBishnoi,Super Giants,https://www.espncricinfo.com/cricketers/ravi-bishnoi-1175441
YashasviJaiswal ,Royals,https://www.espncricinfo.com/cricketers/yashasvi-jaiswal-1151278
JosButtler ,Royals,https://www.espncricinfo.com/cricketers/jos-buttler-308967
SanjuSamson (c)†,Royals,https://www.espncricinfo.com/cricketers/sanju-samson-425943
DevduttPadikkal ,Royals,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026
RiyanParag ,Royals,https://www.espncricinfo.com/cricketers/riyan-parag-1079434
ShimronHetmyer ,Royals,https://www.espncricinfo.com/cricketers/shimron-hetmyer-670025
RavichandranAshwin ,Royals,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421
AbhishekSharma ,Sunrisers,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183
MayankAgarwal ,Sunrisers,https://www.espncricinfo.com/cricketers/mayank-agarwal-398438
RahulTripathi ,Sunrisers,https://www.espncricinfo.com/cricketers/rahul-tripathi-446763
HarryBrook ,Sunrisers,https://www.espncricinfo.com/cricketers/harry-brook-911707
WashingtonSundar ,Sunrisers,https://www.espncricinfo.com/cricketers/washington-sundar-719715
GlennPhillips †,Sunrisers,https://www.espncricinfo.com/cricketers/glenn-phillips-823509
AbdulSamad ,Sunrisers,https://www.espncricinfo.com/cricketers/abdul-samad-1175485
AdilRashid ,Sunrisers,https://www.espncricinfo.com/cricketers/adil-rashid-244497
BhuvneshwarKumar (c),Sunrisers,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016
UmranMalik ,Sunrisers,https://www.espncricinfo.com/cricketers/umran-malik-1246528
BhuvneshwarKumar,Sunrisers,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016
FazalhaqFarooqi,Sunrisers,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175
WashingtonSundar,Sunrisers,https://www.espncricinfo.com/cricketers/washington-sundar-719715
TNatarajan,Sunrisers,https://www.espncricinfo.com/cricketers/t-natarajan-802575
AdilRashid,Sunrisers,https://www.espncricinfo.com/cricketers/adil-rashid-244497
UmranMalik,Sunrisers,https://www.espncricinfo.com/cricketers/umran-malik-1246528
TrentBoult,Royals,https://www.espncricinfo.com/cricketers/trent-boult-277912
KMAsif,Royals,https://www.espncricinfo.com/cricketers/km-asif-1083030
JasonHolder,Royals,https://www.espncricinfo.com/cricketers/jason-holder-391485
RavichandranAshwin,Royals,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421
YuzvendraChahal,Royals,https://www.espncricinfo.com/cricketers/yuzvendra-chahal-430246
NavdeepSaini,Royals,https://www.espncricinfo.com/cricketers/navdeep-saini-700167
RohitSharma (c),Mumbai,https://www.espncricinfo.com/cricketers/rohit-sharma-34102
IshanKishan †,Mumbai,https://www.espncricinfo.com/cricketers/ishan-kishan-720471
CameronGreen ,Mumbai,https://www.espncricinfo.com/cricketers/cameron-green-1076713
SuryakumarYadav ,Mumbai,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507
TilakVarma ,Mumbai,https://www.espncricinfo.com/cricketers/tilak-varma-1170265
NehalWadhera ,Mumbai,https://www.espncricinfo.com/cricketers/nehal-wadhera-1151273
TimDavid ,Mumbai,https://www.espncricinfo.com/cricketers/tim-david-892749
HrithikShokeen ,Mumbai,https://www.espncricinfo.com/cricketers/hrithik-shokeen-1175423
ArshadKhan ,Mumbai,https://www.espncricinfo.com/cricketers/arshad-khan-1244751
ViratKohli ,RCB,https://www.espncricinfo.com/cricketers/virat-kohli-253802
FafduPlessis (c),RCB,https://www.espncricinfo.com/cricketers/faf-du-plessis-44828
DineshKarthik †,RCB,https://www.espncricinfo.com/cricketers/dinesh-karthik-30045
GlennMaxwell ,RCB,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026
MohammedSiraj,RCB,https://www.espncricinfo.com/cricketers/mohammed-siraj-940973
ReeceTopley,RCB,https://www.espncricinfo.com/cricketers/reece-topley-461632
AkashDeep,RCB,https://www.espncricinfo.com/cricketers/akash-deep-1176959
HarshalPatel,RCB,https://www.espncricinfo.com/cricketers/harshal-patel-390481
KarnSharma,RCB,https://www.espncricinfo.com/cricketers/karn-sharma-30288
MichaelBracewell,RCB,https://www.espncricinfo.com/cricketers/michael-bracewell-326968
GlennMaxwell,RCB,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026
JasonBehrendorff,Mumbai,https://www.espncricinfo.com/cricketers/jason-behrendorff-272477
ArshadKhan,Mumbai,https://www.espncricinfo.com/cricketers/arshad-khan-1244751
JofraArcher,Mumbai,https://www.espncricinfo.com/cricketers/jofra-archer-669855
PiyushChawla,Mumbai,https://www.espncricinfo.com/cricketers/piyush-chawla-32966
CameronGreen,Mumbai,https://www.espncricinfo.com/cricketers/cameron-green-1076713
HrithikShokeen,Mumbai,https://www.espncricinfo.com/cricketers/hrithik-shokeen-1175423
MarkWood ,Super Giants,https://www.espncricinfo.com/cricketers/mark-wood-351588
KrunalPandya,Super Giants,https://www.espncricinfo.com/cricketers/krunal-pandya-471342
YashThakur,Super Giants,https://www.espncricinfo.com/cricketers/yash-thakur-1070196
BenStokes,Super Kings,https://www.espncricinfo.com/cricketers/ben-stokes-311158
MoeenAli,Super Kings,https://www.espncricinfo.com/cricketers/moeen-ali-8917
SarfarazKhan ,Capitals,https://www.espncricinfo.com/cricketers/sarfaraz-khan-642525
AbishekPorel †,Capitals,https://www.espncricinfo.com/cricketers/abishek-porel-1277545
AnrichNortje ,Capitals,https://www.espncricinfo.com/cricketers/anrich-nortje-481979
DavidMiller ,Titans,https://www.espncricinfo.com/cricketers/david-miller-321777
AnrichNortje,Capitals,https://www.espncricinfo.com/cricketers/anrich-nortje-481979
MitchellMarsh,Capitals,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450
DhruvJurel ,Royals,https://www.espncricinfo.com/cricketers/dhruv-jurel-1175488
JasonHolder ,Royals,https://www.espncricinfo.com/cricketers/jason-holder-391485
UmeshYadav ,KKR,https://www.espncricinfo.com/cricketers/umesh-yadav-376116
MichaelBracewell ,RCB,https://www.espncricinfo.com/cricketers/michael-bracewell-326968
HarshalPatel ,RCB,https://www.espncricinfo.com/cricketers/harshal-patel-390481
ShahbazAhmed ,RCB,https://www.espncricinfo.com/cricketers/shahbaz-ahmed-1159711
AnujRawat ,RCB,https://www.espncricinfo.com/cricketers/anuj-rawat-1123073
DavidWilley ,RCB,https://www.espncricinfo.com/cricketers/david-willey-308251
KarnSharma ,RCB,https://www.espncricinfo.com/cricketers/karn-sharma-30288
AkashDeep ,RCB,https://www.espncricinfo.com/cricketers/akash-deep-1176959
DavidWilley,RCB,https://www.espncricinfo.com/cricketers/david-willey-308251
ShahbazAhmed,RCB,https://www.espncricinfo.com/cricketers/shahbaz-ahmed-1159711
SuyashSharma,KKR,https://www.espncricinfo.com/cricketers/suyash-sharma-1350792
AnmolpreetSingh †,Sunrisers,https://www.espncricinfo.com/cricketers/anmolpreet-singh-851261
AidenMarkram (c),Sunrisers,https://www.espncricinfo.com/cricketers/aiden-markram-600498
BhuvneshwarKumar ,Sunrisers,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016
RomarioShepherd ,Super Giants,https://www.espncricinfo.com/cricketers/romario-shepherd-677077
DeepakHooda,Super Giants,https://www.espncricinfo.com/cricketers/deepak-hooda-497121
AmitMishra,Super Giants,https://www.espncricinfo.com/cricketers/amit-mishra-31107
AidenMarkram,Sunrisers,https://www.espncricinfo.com/cricketers/aiden-markram-600498
ManishPandey ,Capitals,https://www.espncricinfo.com/cricketers/manish-pandey-290630
LalitYadav ,Capitals,https://www.espncricinfo.com/cricketers/lalit-yadav-930189
RovmanPowell,Capitals,https://www.espncricinfo.com/cricketers/rovman-powell-820351
SandeepSharma,Royals,https://www.espncricinfo.com/cricketers/sandeep-sharma-438362
MuruganAshwin,Royals,https://www.espncricinfo.com/cricketers/murugan-ashwin-528067
TristanStubbs ,Mumbai,https://www.espncricinfo.com/cricketers/tristan-stubbs-595978
PiyushChawla ,Mumbai,https://www.espncricinfo.com/cricketers/piyush-chawla-32966
AjinkyaRahane ,Super Kings,https://www.espncricinfo.com/cricketers/ajinkya-rahane-277916
SisandaMagala,Super Kings,https://www.espncricinfo.com/cricketers/sisanda-magala-379776
DwainePretorius,Super Kings,https://www.espncricinfo.com/cricketers/dwaine-pretorius-327830
KumarKartikeya,Mumbai,https://www.espncricinfo.com/cricketers/kumar-kartikeya-1159843
AbhinavManohar ,Titans,https://www.espncricinfo.com/cricketers/abhinav-manohar-778963
NarayanJagadeesan ,KKR,https://www.espncricinfo.com/cricketers/narayan-jagadeesan-1048813
LockieFerguson,KKR,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773
MatthewShort ,Punjab Kings,https://www.espncricinfo.com/cricketers/matthew-short-605575
HarpreetBrar ,Punjab Kings,https://www.espncricinfo.com/cricketers/harpreet-brar-1168641
RahulChahar ,Punjab Kings,https://www.espncricinfo.com/cricketers/rahul-chahar-1064812
NathanEllis ,Punjab Kings,https://www.espncricinfo.com/cricketers/nathan-ellis-826915
MohitRathee ,Punjab Kings,https://www.espncricinfo.com/cricketers/mohit-rathee-1349361
MarcoJansen,Sunrisers,https://www.espncricinfo.com/cricketers/marco-jansen-696401
MayankMarkande,Sunrisers,https://www.espncricinfo.com/cricketers/mayank-markande-1081442
MohitRathee,Punjab Kings,https://www.espncricinfo.com/cricketers/mohit-rathee-1349361
JaydevUnadkat ,Super Giants,https://www.espncricinfo.com/cricketers/jaydev-unadkat-390484
RaviBishnoi ,Super Giants,https://www.espncricinfo.com/cricketers/ravi-bishnoi-1175441
AveshKhan ,Super Giants,https://www.espncricinfo.com/cricketers/avesh-khan-694211
WayneParnell,RCB,https://www.espncricinfo.com/cricketers/wayne-parnell-265564
YashDhull ,Capitals,https://www.espncricinfo.com/cricketers/yash-dhull-1292498
MustafizurRahman ,Capitals,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902
RileyMeredith,Mumbai,https://www.espncricinfo.com/cricketers/riley-meredith-961713
TilakVarma,Mumbai,https://www.espncricinfo.com/cricketers/tilak-varma-1170265
MustafizurRahman,Capitals,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902
LalitYadav,Capitals,https://www.espncricinfo.com/cricketers/lalit-yadav-930189
AdamZampa ,Royals,https://www.espncricinfo.com/cricketers/adam-zampa-379504
AkashSingh,Super Kings,https://www.espncricinfo.com/cricketers/akash-singh-1175458
MaheeshTheekshana,Super Kings,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316
KuldeepSen,Royals,https://www.espncricinfo.com/cricketers/kuldeep-sen-1163695
AdamZampa,Royals,https://www.espncricinfo.com/cricketers/adam-zampa-379504
RishiDhawan ,Punjab Kings,https://www.espncricinfo.com/cricketers/rishi-dhawan-290727
MohitSharma,Titans,https://www.espncricinfo.com/cricketers/mohit-sharma-537119
KagisoRabada,Punjab Kings,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215
MatthewShort,Punjab Kings,https://www.espncricinfo.com/cricketers/matthew-short-605575
HeinrichKlaasen †,Sunrisers,https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757
AndreRussell,KKR,https://www.espncricinfo.com/cricketers/andre-russell-276298
MahipalLomror ,RCB,https://www.espncricinfo.com/cricketers/mahipal-lomror-853265
VijaykumarVyshak,RCB,https://www.espncricinfo.com/cricketers/vijaykumar-vyshak-777815
WaninduHasaranga,RCB,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379
YudhvirSingh ,Super Giants,https://www.espncricinfo.com/cricketers/yudhvir-singh-1206052
AtharvaTaide ,Punjab Kings,https://www.espncricinfo.com/cricketers/atharva-taide-1125958
HarpreetSingh ,Punjab Kings,https://www.espncricinfo.com/cricketers/harpreet-singh-340854
SamCurran (c),Punjab Kings,https://www.espncricinfo.com/cricketers/sam-curran-662973
KagisoRabada ,Punjab Kings,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215
YudhvirSingh,Super Giants,https://www.espncricinfo.com/cricketers/yudhvir-singh-1206052
RohitSharma ,Mumbai,https://www.espncricinfo.com/cricketers/rohit-sharma-34102
